A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
          0,          1, 1, 0,         -1,z,z,0
         -1,         -2, 1, 0,          1,z,z,0
         -2,          4, 1, 0,         -6,z,z,0
         -4,         -8, 1, 0,          4,z,z,0
         -8,         16, 1, 0,        -24,z,z,0
        -16,        -32, 1, 0,         16,z,z,0
        -32,         64, 1, 0,        -96,z,z,0
        -64,       -128, 1, 0,         64,z,z,0
       -128,        256, 1, 0,       -384,z,z,0
       -256,       -512, 1, 0,        256,z,z,0
       -512,       1024, 1, 0,      -1536,z,z,0
      -1024,      -2048, 1, 0,       1024,z,z,0
      -2048,       4096, 1, 0,      -6144,z,z,0
      -4096,      -8192, 1, 0,       4096,z,z,0
      -8192,      16384, 1, 0,     -24576,z,z,0
     -16384,     -32768, 1, 0,      16384,z,z,0
     -32768,      65536, 1, 0,     -98304,z,z,0
     -65536,    -131072, 1, 0,      65536,z,z,0
    -131072,     262144, 1, 0,    -393216,z,z,0
    -262144,    -524288, 1, 0,     262144,z,z,0
    -524288,    1048576, 1, 0,   -1572864,z,z,0
   -1048576,   -2097152, 1, 0,    1048576,z,z,0
   -2097152,    4194304, 1, 0,   -6291456,z,z,0
   -4194304,   -8388608, 1, 0,    4194304,z,z,0
   -8388608,   16777216, 1, 0,  -25165824,z,z,0
  -16777216,  -33554432, 1, 0,   16777216,z,z,0
  -33554432,   67108864, 1, 0, -100663296,z,z,0
  -67108864, -134217728, 1, 0,   67108864,z,z,0
 -134217728,  268435456, 1, 0, -402653184,z,z,0
 -268435456, -536870912, 1, 0,  268435456,z,z,0
 -536870912, 1073741824, 1, 0,-1610612736,z,z,0
-1073741824,-2147483648, 1, 0, 1073741824,z,z,1
-2147483648, 2147483647, 1, 0,          1,z,z,1
